name,full_name,url,language,stars,forks,is_fork,is_archived,is_private,days_since_push,managed,priority,agents
readmatic,thrashr888/readmatic,https://github.com/thrashr888/readmatic,TypeScript,0,0,false,false,false,45,true,Skip,
TVOS,thrashr888/TVOS,https://github.com/thrashr888/TVOS,Python,0,0,false,false,false,47,true,Skip,AWS Kiro
terraform-provider-aws,thrashr888/terraform-provider-aws,https://github.com/thrashr888/terraform-provider-aws,Go,0,0,true,false,false,76,false,Skip,
samuraidata-io,thrashr888/samuraidata-io,https://github.com/thrashr888/samuraidata-io,TypeScript,0,0,false,false,false,457,true,Skip,
awesome-terraform-enterprise,thrashr888/awesome-terraform-enterprise,https://github.com/thrashr888/awesome-terraform-enterprise,,0,0,true,false,false,2029,false,Skip,
ember-todomvc,thrashr888/ember-todomvc,https://github.com/thrashr888/ember-todomvc,,0,0,true,false,false,2194,false,Skip,
wheres-my-ship,thrashr888/wheres-my-ship,https://github.com/thrashr888/wheres-my-ship,Go,0,0,true,false,false,2246,false,Skip,
terraform-demo,thrashr888/terraform-demo,https://github.com/thrashr888/terraform-demo,HCL,0,1,true,false,false,2390,false,Skip,
packer2terraform,thrashr888/packer2terraform,https://github.com/thrashr888/packer2terraform,Go,0,0,true,false,false,2492,false,Skip,
terraform-github-actions,thrashr888/terraform-github-actions,https://github.com/thrashr888/terraform-github-actions,Shell,0,0,true,false,false,2648,false,Skip,
docker-nomad,thrashr888/docker-nomad,https://github.com/thrashr888/docker-nomad,Shell,0,0,true,false,false,2697,false,Skip,
github-issue-templates,thrashr888/github-issue-templates,https://github.com/thrashr888/github-issue-templates,,0,0,true,false,false,2754,false,Skip,
packer-post-processor-template,thrashr888/packer-post-processor-template,https://github.com/thrashr888/packer-post-processor-template,,0,0,true,false,false,2890,false,Skip,
terraform-enterprise-modules,thrashr888/terraform-enterprise-modules,https://github.com/thrashr888/terraform-enterprise-modules,HCL,0,0,true,false,false,2918,false,Skip,
ngDropbox,thrashr888/ngDropbox,https://github.com/thrashr888/ngDropbox,JavaScript,0,0,true,false,false,3018,false,Skip,
highland-kinesis-firehose,thrashr888/highland-kinesis-firehose,https://github.com/thrashr888/highland-kinesis-firehose,JavaScript,0,0,true,false,false,3018,false,Skip,
packer,thrashr888/packer,https://github.com/thrashr888/packer,Go,0,0,true,false,false,3167,false,Skip,
node-angularcontext,thrashr888/node-angularcontext,https://github.com/thrashr888/node-angularcontext,JavaScript,0,0,true,false,false,3398,false,Skip,
angularjs-server,thrashr888/angularjs-server,https://github.com/thrashr888/angularjs-server,JavaScript,0,0,true,false,false,3398,false,Skip,
terraform,thrashr888/terraform,https://github.com/thrashr888/terraform,Go,0,0,true,false,false,3776,false,Skip,
name-my-tech,thrashr888/name-my-tech,https://github.com/thrashr888/name-my-tech,,0,0,true,false,false,3787,false,Skip,
heroku-buildpack-nodejs,thrashr888/heroku-buildpack-nodejs,https://github.com/thrashr888/heroku-buildpack-nodejs,Shell,0,0,true,false,false,4422,false,Skip,
django-zebra,thrashr888/django-zebra,https://github.com/thrashr888/django-zebra,Python,0,1,true,false,false,4440,false,Skip,
angularjs-sdr,thrashr888/angularjs-sdr,https://github.com/thrashr888/angularjs-sdr,,0,0,true,false,false,4452,false,Skip,
